6,Gowron,37,220
10,Odo,53,191
11,Ben,57,372
18,Jean-Luc,45,455
24,Julian,25,1
33,Dukat,53,197
36,Kasidy,32,81
46,Morn,25,96
48,Nog,20,1
57,Odo,57,294
60,Geordi,20,100
71,Geordi,45,184
73,Brunt,20,384
82,Hugh,57,465
83,Geordi,32,308
96,Ezri,25,233
104,Dukat,32,142
108,Leeta,25,274
109,Quark,53,417
111,Nerys,37,46
112,Morn,25,13
122,Data,45,400
123,Jadzia,45,439
129,Kasidy,45,252
134,Ben,45,340
138,Dukat,32,384
145,Leeta,45,470
166,Lwaxana,25,10
169,Beverly,53,92
179,Elim,37,426
192,Jadzia,45,497
208,Nog,37,271
214,Miles,32,182
226,Lwaxana,37,207
235,Elim,57,8
238,Deanna,25,305
241,Quark,45,332
242,Data,25,101
256,Worf,32,412
271,Morn,25,446
282,Geordi,32,404
297,Ben,45,395
298,Guinan,57,207
299,Rom,57,311
302,Beverly,37,263
308,Morn,45,59
315,Weyoun,25,208
327,Julian,20,63
340,Nerys,57,275
347,Geordi,32,24
349,Kasidy,20,277
370,Jadzia,53,86
385,Beverly,57,436
406,Ben,57,121
412,Jadzia,53,451
413,Hugh,45,147
417,Julian,37,106
418,Guinan,32,212
432,Brunt,45,54
434,Deanna,57,289
436,Geordi,57,229
446,Quark,32,41
450,Weyoun,37,234
456,Ezri,37,471
464,Beverly,25,485
465,Morn,53,126
481,Elim,32,97
483,Hugh,57,99
