2,Hugh,55,221
3,Deanna,40,465
8,Jadzia,38,380
15,Rom,36,49
16,Weyoun,22,323
20,Odo,67,220
22,Quark,30,72
26,Julian,22,100
29,Nog,48,364
41,Hugh,67,167
47,Brunt,24,49
49,Ezri,40,254
51,Lwaxana,36,212
53,Geordi,62,31
56,Gowron,44,194
61,Kasidy,62,442
62,Keiko,69,9
67,Jadzia,48,135
69,Jean-Luc,30,204
72,Kasidy,22,179
74,Leeta,65,208
75,Morn,40,459
76,Will,62,201
77,Weyoun,40,407
80,Dukat,67,445
84,Ben,28,311
86,Hugh,55,257
89,Worf,24,492
94,Morn,62,133
95,Odo,29,173
97,Nerys,69,361
98,Will,44,178
99,Keiko,69,491
101,Morn,67,123
102,Dukat,40,18
116,Ben,69,75
118,Ben,28,304
119,Worf,29,344
127,Miles,40,284
130,Gowron,67,350
131,Hugh,65,309
137,Martok,28,32
139,Nog,36,193
141,Miles,36,424
144,Miles,22,93
150,Nerys,55,313
154,Geordi,40,389
156,Deanna,44,360
159,Kasidy,67,438
163,Nerys,67,204
167,Quark,48,57
171,Weyoun,29,126
172,Kasidy,55,204
175,Will,38,459
176,Worf,55,474
177,Brunt,67,316
180,Kasidy,30,108
184,Julian,44,84
185,Weyoun,48,287
189,Quark,62,23
191,Nog,40,349
194,Kasidy,38,2
195,Ben,30,376
196,Data,38,173
197,Leeta,38,76
198,Brunt,48,381
199,Hugh,38,180
205,Morn,69,236
212,Geordi,55,284
213,Worf,28,312
215,Will,22,6
217,Keiko,29,260
223,Odo,40,406
224,Keiko,44,277
227,Ezri,40,198
229,Gowron,24,150
233,Gowron,67,70
236,Brunt,62,442
239,Nog,48,345
245,Jean-Luc,28,174
250,Hugh,36,342
251,Rom,55,57
252,Will,36,174
253,Leeta,69,116
254,Ezri,67,79
259,Kasidy,29,11
260,Brunt,38,96
261,Jadzia,40,172
263,Martok,40,33
264,Julian,29,228
269,Beverly,55,289
270,Data,44,353
272,Quark,29,367
278,Data,44,499
283,Dukat,65,443
286,Lwaxana,30,384
289,Ezri,30,221
290,Beverly,62,290
294,Leeta,38,410
295,Nerys,40,56
296,Data,38,454
301,Weyoun,28,108
305,Quark,29,182
309,Geordi,67,153
314,Geordi,36,168
319,Leeta,30,476
320,Worf,62,450
321,Data,44,61
323,Nog,29,236
328,Deanna,62,41
329,Dukat,67,35
331,Martok,30,17
332,Julian,55,362
333,Ben,29,207
334,Leeta,40,7
338,Will,28,180
344,Data,30,487
346,Hugh,29,329
350,Nog,55,464
354,Kasidy,69,15
356,Weyoun,67,149
365,Brunt,65,430
369,Quark,48,266
372,Brunt,62,273
381,Nog,38,95
383,Data,69,148
384,Martok,67,355
388,Nog,30,184
389,Weyoun,38,38
390,Martok,22,266
396,Keiko,67,38
397,Quark,69,470
399,Beverly,24,401
400,Data,29,128
407,Miles,36,68
408,Dukat,62,496
415,Quark,30,65
419,Kasidy,55,176
421,Will,40,261
422,Ben,67,292
423,Will,44,388
424,Keiko,55,470
426,Worf,24,77
427,Brunt,28,258
430,Geordi,36,493
431,Quark,36,343
433,Ezri,38,203
440,Elim,48,394
441,Jadzia,38,143
445,Guinan,40,286
447,Julian,38,34
448,Nerys,48,439
451,Martok,28,34
453,Julian,44,337
458,Elim,44,335
463,Keiko,40,220
469,Brunt,55,271
470,Deanna,38,160
476,Jean-Luc,28,378
479,Kasidy,44,320
482,Ben,48,146
484,Leeta,22,478
487,Brunt,69,431
490,Nerys,65,101
498,Jadzia,62,36
499,Leeta,62,12
